dt,VitesseOrientation,posX,PosY,batterie
31.6001,80,-13.5755,-1662.33,5854.27,45.8502
31.7001,80,-13.5762,-1667.55,5875.87,45.8353
31.8001,80,-13.575,-1672.76,5897.47,45.8205
31.9001,80,-13.5741,-1677.98,5919.07,45.8057
32.0001,80,-13.5741,-1683.2,5940.67,45.7909
32.1001,80,-13.5771,-1688.41,5962.27,45.7761
32.2001,80,-13.5703,-1693.63,5983.88,45.7613
32.3001,80,-13.5704,-1698.84,6005.48,45.7465
32.4001,80,-13.5741,-1704.06,6027.08,45.7316
32.5001,80,-13.5645,-1709.27,6048.68,45.7168
32.6001,80,-13.5659,-1714.48,6070.28,45.702
32.7001,80,-13.5705,-1719.7,6091.89,45.6872
32.8001,80,-13.5592,-1724.91,6113.49,45.6724
32.9001,80,-13.5619,-1730.12,6135.09,45.6576
33.0001,80,-13.5608,-1735.33,6156.69,45.6428
33.1001,80,-13.5557,-1740.54,6178.3,45.6279
33.2001,80,-13.5577,-1745.75,6199.9,45.6131
33.3001,80,-13.5545,-1750.96,6221.5,45.5983
33.4001,79.3508,-13.5505,-1756.17,6243.1,45.5836
33.5001,78.7114,-13.5493,-1761.33,6264.53,45.569
33.6001,76.8811,-13.541,-1766.46,6285.79,45.5548
33.7001,75.1318,-13.5318,-1771.46,6306.55,45.5409
33.8001,73.4606,-13.5182,-1776.34,6326.84,45.5273
33.9001,71.8645,-13.5385,-1781.11,6346.68,45.514
34.0001,70.3408,-13.48,-1785.78,6366.09,45.5009
34.1001,68.8866,978.041,-1790.34,6385.09,45.4882
34.2001,67.4993,476.822,-1809.06,6381.13,45.4757
34.3,66.1764,268.077,-1792.32,6372.67,45.4634
34.4,64.9153,181.562,-1810.7,6372.05,45.4514
34.5,63.7137,66.6919,-1811.19,6354.02,45.4396
34.6,62.5693,147.088,-1794.93,6361.03,45.428
34.7,61.4799,49.9879,-1785.49,6346.44,45.4166
34.8,60.4432,26.909,-1772.41,6357.42,45.4055
34.9,59.4573,70.5272,-1764.81,6372.39,45.3944
35,58.4573,212.859,-1749.24,6377.89,45.3836
35.1,57.4573,275.414,-1758.05,6364.25,45.373
35.2,56.4573,193.892,-1773.94,6365.76,45.3625
35.3,55.4573,199.402,-1777.71,6350.54,45.3523
35.4,54.4573,233.643,-1782.82,6336,45.3422
35.5,53.4573,164.843,-1795.01,6327.04,45.3323
35.6,52.4573,27.2281,-1791.12,6312.7,45.3226
35.7,51.4573,1.26103,-1784.46,6325.66,45.313
35.8,50.4573,72.0532,-1784.14,6339.95,45.3037
35.9,50,-271.711,-1770.81,6344.27,45.2944
36,50,198.867,-1756.92,6344.69,45.2852
36.1,50,255.65,-1761.42,6331.54,45.2759
36.2,50,325.406,-1774.87,6328.1,45.2666
36.3,50,346.364,-1782.76,6339.53,45.2574
36.4,50,239.113,-1786.03,6353.03,45.2481
36.5,50,222.881,-1797.95,6345.9,45.2389
36.6,50,-24.5654,-1807.4,6335.72,45.2296
36.7,50,-1.06106,-1813.18,6348.36,45.2203
36.8,50,-17.7807,-1813.43,6362.24,45.2111
36.9,50,-44.8808,-1817.67,6375.47,45.2018
37,50,42.5836,-1827.48,6385.31,45.1926
37.1,50,122.792,-1818.08,6395.54,45.1833
37.2,50,188.328,-1806.4,6388.01,45.174
37.3,50,141.519,-1808.41,6374.27,45.1648
37.4,50,129.454,-1799.77,6363.4,45.1555
37.5,50,196.222,-1789.05,6354.57,45.1463
37.6,50,125.044,-1792.93,6341.24,45.137
37.7,50,126.234,-1781.56,6333.26,45.1278
37.8,50,138.257,-1770.35,6325.05,45.1185
37.9,50,93.2128,-1761.11,6314.69,45.1092
38,50,179.305,-1747.24,6313.91,45.1
38.1,50,152.789,-1747.07,6300.02,45.0907
38.2,50,336.359,-1740.72,6287.67,45.0815
38.3,50,650.259,-1746.29,6300.39,45.0722
38.4,50,-1428.75,-1759.32,6305.2,45.0629
38.5,50,-610.546,-1756.61,6318.83,45.0537
38.6,50,-276.901,-1743.51,6314.2,45.0444
38.7,50,-107.056,-1729.72,6315.87,45.0352
38.8,50,1653.26,-1743,6311.79,45.0259
38.9,50,902.141,-1750.62,6300.18,45.0166
39,50,493.602,-1751.14,6286.3,45.0074
39.1,50,331.139,-1741.08,6276.72,44.9981
39.2,50,-1686.15,-1747.79,6288.89,44.9889
39.3,50,-461.1,-1735.08,6283.27,44.9796
39.4,50,-207.748,-1748.71,6280.6,44.9703
39.5,50,-119.247,-1742.25,6268.31,44.9611
39.6,50,-57.5516,-1754.36,6261.52,44.9518
39.7,50,-63.1236,-1766.08,6268.97,44.9426
39.8,50,45.7305,-1778.47,6275.25,44.9333
39.9,50,107.711,-1768.53,6284.95,44.924
40,50,107.544,-1755.3,6280.72,44.9148
40.1,50,51.4412,-1742.05,6276.53,44.9055
40.2,50,122.477,-1731.19,6285.19,44.8963
40.3,50,-30.7857,-1719.48,6277.73,44.887
40.4,50,-179.117,-1726.59,6289.67,44.8778
40.5,50,-170.678,-1726.8,6275.78,44.8685
40.6,50,-85.823,-1729.05,6262.07,44.8592
40.7,50,-88.9782,-1742.9,6263.08,44.85
40.7999,50,-55.3143,-1756.79,6263.33,44.8407
40.8999,50,25.444,-1768.21,6271.24,44.8315
40.9999,50,107.452,-1762.24,6283.78,44.8222
41.0999,50,111.122,-1748.99,6279.61,44.8129
41.1999,50,46.2717,-1736.04,6274.61,44.8037
41.2999,50,7.2784,-1726,6284.21,44.7944
41.3999,50,-83.7546,-1724.24,6297.98,44.7852
41.4999,50,-43.0627,-1738.05,6299.5,44.7759
41.5999,50,-71.4606,-1747.53,6309.64,44.7666
41.6999,50,-201.48,-1760.7,6314.06,44.7574
41.7999,50,-86.5647,-1755.61,6301.14,44.7481
41.8999,50,-59.3134,-1769.48,6301.97,44.7389
41.9999,50,-123.259,-1781.42,6309.06,44.7296
42.0999,50,66.68,-1793.03,6301.44,44.7203
42.1999,50,218.584,-1780.28,6306.94,44.7111
42.2999,49.0628,543.808,-1788.94,6296.08,44.702
42.3999,48.1723,259.3,-1789.85,6282.48,44.6931
42.4999,48.5663,-117.286,-1803,6280,44.6841
42.5999,48.9684,-36.8348,-1814.98,6273.81,44.675
42.6999,49.3778,-3.11076,-1823.14,6284.7,44.6659
42.7999,49.7937,12.5559,-1823.88,6298.4,44.6567
42.8999,50.2153,17.8594,-1820.88,6311.9,44.6474
42.9999,50.6417,21.0772,-1816.6,6325.17,44.638
43.0999,51.0724,23.2149,-1811.54,6338.3,44.6285
43.1999,51.5066,22.5842,-1805.95,6351.34,44.619
43.2999,51.9437,22.1385,-1800.45,6364.55,44.6094
43.3999,52.383,21.8771,-1795.02,6377.91,44.5997
43.4999,52.824,21.6508,-1789.59,6391.41,44.5899
43.5999,53.2662,21.5316,-1784.18,6405.05,44.58
43.6999,53.709,21.5548,-1778.75,6418.82,44.5701
43.7999,54.152,21.4342,-1773.27,6432.69,44.56
43.8999,54.5947,21.2623,-1767.77,6446.69,44.5499
43.9999,55.0367,21.2449,-1762.27,6460.83,44.5397
44.0999,55.4776,21.2912,-1756.73,6475.08,44.5295
44.1999,55.917,21.1918,-1751.14,6489.43,44.5191
44.2999,56.3545,21.0326,-1745.52,6503.92,44.5087
44.3999,56.7899,21.0139,-1739.9,6518.53,44.4982
44.4999,57.2228,21.0595,-1734.25,6533.25,44.4876
44.5999,57.6529,20.8745,-1728.54,6548.09,44.4769
44.6999,58.08,20.936,-1722.83,6563.05,44.4661
44.7999,58.5039,20.7658,-1717.06,6578.12,44.4553
44.8999,58.9242,20.8275,-1711.3,6593.31,44.4444
44.9999,59.3408,20.6552,-1705.48,6608.61,44.4334
45.0999,59.7534,20.7195,-1699.67,6624.04,44.4223
45.1999,60.162,20.6343,-1693.8,6639.56,44.4112
45.2999,60.5663,20.5728,-1687.91,6655.2,44.4
45.3999,60.9662,20.5138,-1681.99,6670.95,44.3887
45.4999,61.3615,20.3766,-1676.06,6686.81,44.3773
45.5999,61.7522,20.4552,-1670.13,6702.79,44.3659
45.6999,62.138,20.3798,-1664.13,6718.86,44.3544
45.7999,62.5189,20.3207,-1658.12,6735.04,44.3428
45.8999,62.8949,20.187,-1652.09,6751.33,44.3312
45.9999,63.2658,20.2643,-1646.06,6767.73,44.3194
46.0999,63.6315,20.1042,-1639.97,6784.21,44.3077
46.1999,63.992,20.1756,-1633.9,6800.81,44.2958
46.2999,64.3472,20.1008,-1627.77,6817.5,44.2839
46.3999,64.6972,19.9612,-1621.62,6834.28,44.2719
46.4999,65.0418,20.0375,-1615.49,6851.17,44.2599
46.5999,65.381,19.8836,-1609.3,6868.15,44.2477
46.6999,65.7148,19.8701,-1603.12,6885.23,44.2356
46.7999,66.0433,19.8437,-1596.92,6902.39,44.2234
46.8999,66.3662,19.8882,-1590.69,6919.65,44.2111
46.9999,66.6838,19.7237,-1584.42,6936.98,44.1987
47.0999,66.996,19.7086,-1578.17,6954.42,44.1863
47.1999,67.3027,19.7596,-1571.89,6971.94,44.1738
47.2999,67.6041,19.6821,-1565.57,6989.54,44.1613
47.3998,67.9,19.543,-1559.25,7007.22,44.1488
47.4998,68.1906,19.6207,-1552.94,7024.99,44.1361
47.5998,68.4759,19.556,-1546.58,7042.83,44.1234
47.6998,68.7558,19.4193,-1540.21,7060.76,44.1107
47.7998,69.0305,19.4234,-1533.86,7078.77,44.0979
47.8998,69.3,19.3976,-1527.48,7096.85,44.0851
47.9998,69.5642,19.3663,-1521.09,7115.01,44.0722
48.0998,69.8233,19.3369,-1514.68,7133.24,44.0593
48.1998,70.0773,19.3015,-1508.26,7151.54,44.0463
48.2998,71.0773,19.2654,-1501.83,7169.91,44.0331
48.3998,72.0773,19.309,-1495.31,7188.55,44.0198
48.4998,73.0773,19.1532,-1488.69,7207.45,44.0063
48.5998,74.0773,19.1415,-1482.03,7226.62,43.9925
48.6998,75.0773,19.1962,-1475.28,7246.06,43.9786
48.7998,76.0773,19.0387,-1468.43,7265.76,43.9646
48.8998,77.0773,19.0334,-1461.53,7285.73,43.9503
48.9998,78.0773,19.0913,-1454.55,7305.97,43.9358
49.0998,79.0773,18.932,-1447.46,7326.47,43.9212
49.1998,80,18.9282,-1440.33,7347.25,43.9064
49.2998,80,18.9889,-1433.12,7368.27,43.8915
49.3998,80,18.9175,-1425.89,7389.28,43.8767
49.4998,80,18.7779,-1418.69,7410.3,43.8619
49.5998,80,18.7823,-1411.53,7431.34,43.8471
49.6998,80,18.7586,-1404.38,7452.38,43.8323
49.7998,80,18.7323,-1397.23,7473.42,43.8175
49.8998,80,18.7104,-1390.09,7494.47,43.8027
49.9998,80,18.6807,-1382.97,7515.52,43.7878
